"sim_date","hospital_admissions","hospital_load","cumulative_hospital_admissions","cases_0_9","cases_10_19","cases_20_29","cases_30_39","cases_40_49","cases_50_59","cases_60_69","cases_70_79","cases_80_89","cases_90_","cases","covid19_tests"
"2020-03-01",NA,NA,NA,0,4,1,1,5,3,1,1,0,0,16,82
"2020-03-02",NA,NA,NA,0,4,1,0,4,3,2,1,0,0,15,317
"2020-03-03",NA,NA,NA,1,3,5,4,9,4,1,5,0,0,32,538
"2020-03-04",NA,NA,NA,3,8,6,5,8,5,7,2,1,1,46,701
"2020-03-05",NA,NA,NA,3,5,8,8,8,12,4,3,0,0,51,773
"2020-03-06",NA,NA,NA,2,6,8,10,14,14,6,6,3,1,70,1119
"2020-03-07",NA,NA,NA,0,2,2,4,6,4,2,2,1,0,23,475
"2020-03-08",NA,NA,NA,0,5,6,6,7,10,6,5,3,1,49,483
"2020-03-09",NA,NA,NA,2,4,7,6,18,11,8,2,5,0,63,610
"2020-03-10",NA,NA,NA,1,4,6,8,15,12,7,6,1,1,61,804
"2020-03-11",NA,NA,NA,4,8,11,14,17,16,9,6,8,6,99,1108
"2020-03-12",NA,NA,NA,3,5,14,14,20,16,15,12,12,5,116,1438
"2020-03-13",NA,NA,NA,4,5,19,20,21,20,15,12,15,4,135,2524
"2020-03-14",NA,NA,NA,2,0,12,12,18,16,10,12,12,6,100,2171
"2020-03-15",70,266,70,2,3,10,15,12,15,9,15,15,11,107,1269
"2020-03-16",88,370,158,2,1,14,18,20,18,19,15,18,7,132,1892
"2020-03-17",125,497,283,6,2,17,20,21,17,19,20,19,11,152,2255
"2020-03-18",179,646,462,4,3,19,21,22,22,21,20,18,12,162,2714
"2020-03-19",214,844,676,3,3,21,22,23,24,24,23,21,17,181,3395
"2020-03-20",294,1101,970,5,5,18,22,18,21,21,20,18,12,160,3120
"2020-03-21",322,1384,1292,1,0,15,19,19,22,23,19,20,14,152,2276
"2020-03-22",278,1646,1570,3,1,17,19,21,23,20,21,22,9,156,1414
"2020-03-23",268,1883,1838,9,7,22,23,23,23,22,22,23,18,192,3322
"2020-03-24",420,2140,2258,8,5,21,20,24,21,23,22,22,16,182,3975
"2020-03-25",543,2721,2801,3,6,21,23,21,23,21,21,21,18,178,4282
"2020-03-26",494,3077,3295,5,9,23,24,23,24,23,23,22,13,189,4363
"2020-03-27",587,3650,3882,4,4,20,23,26,24,23,24,20,19,187,4930
"2020-03-28",642,4089,4524,5,6,18,20,22,23,21,20,20,13,168,3850
"2020-03-29",545,4480,5069,3,2,21,18,22,23,19,21,20,13,162,2419
"2020-03-30",486,4897,5555,5,8,22,24,24,24,24,24,24,21,200,4101
"2020-03-31",550,4989,6105,3,10,20,22,23,24,22,21,22,23,190,6432
"2020-04-01",599,5220,6704,6,10,21,23,22,24,24,24,23,21,198,5891
"2020-04-02",572,5383,7276,7,10,24,23,23,26,20,23,25,23,204,6088
"2020-04-03",503,5513,7779,7,6,21,24,25,23,23,24,22,22,197,6718
"2020-04-04",502,5531,8281,3,5,20,21,22,23,21,22,23,21,181,5368
